mode,freq_Hz,omega_rad_s,modal_force,eta_static,center_shape,center_static_contribution_mm,cumulative_center_static_mm,cumulative_capture_ratio
1,52.1956631234133,327.955023635525,606.4258896929,0.00563831270316035,-0.396482925648431,-2.23549471626973,-2.23549471626973,0.974199885513634
2,124.934908847657,784.989183625422,1.20300880368518e-09,1.95227710082617e-15,1.66006490360557e-12,3.24090669719435e-24,-2.23549471626973,0.974199885513634
3,316.927641438746,1991.31510012701,-320.798102497717,-8.09006138226672e-05,0.561491915657717,-0.0454250406331746,-2.2809197569029,0.993995534799773
4,406.456076699852,2553.83884913437,110.395970582399,1.69264640703113e-05,-0.861316640028571,-0.0145790451606049,-2.29549880206351,1.0003488954331
5,456.391414595754,2867.59183051095,1.01306740774021e-09,1.23198004844403e-16,3.49796605974325e-12,4.30942439573805e-25,-2.29549880206351,1.0003488954331
6,796.966293013355,5007.48690257889,-18.4113438723356,-7.34253195730917e-07,-0.924036307104861,0.000678476611463139,-2.29482032545205,1.00005322403992
7,917.087243313845,5762.22909259138,196.615346648663,5.92156323948813e-06,-0.122790972202451,-0.000727114507135041,-2.29554743995918,1.00037009120335
8,952.091038689239,5982.16442538958,-2.48934650670662e-10,-6.95614555845423e-18,-8.58880889028739e-13,5.97450048145848e-27,-2.29554743995918,1.00037009120335
9,1056.00973275237,6635.10483706834,-9.72253388908939e-11,-2.20843126608223e-18,5.76132636916004e-13,-1.27234932877571e-27,-2.29554743995918,1.00037009120335
10,1371.79449858482,8619.23903797792,-6.0462745921086e-11,-8.13860585306284e-19,4.63484644876538e-13,-3.77211884359694e-28,-2.29554743995918,1.00037009120335
11,1427.99432389711,8972.35295464616,-7.34511577111183,-9.12401406965578e-08,-0.2365170558415,2.15798494521141e-05,-2.29552586010973,1.00036068698212
12,1611.52701234898,10125.5228461141,-6.40825727546549e-13,-6.25035987749505e-21,-6.68952465550429e-15,4.18119365062779e-32,-2.29552586010973,1.00036068698212
13,1768.94190839878,11114.5898081054,126.011653493003,1.02005556974266e-06,0.366717842701036,0.000374072577971203,-2.29515178753176,1.00019767095708
14,1854.22529862644,11650.4411525304,64.8516838831344,4.77789406050006e-07,1.11861720645941,0.00053446345067156,-2.29461732408109,0.999964758649725
15,1904.87540950814,11968.6851850293,-1.87204030055454e-10,-1.30683966081689e-18,-2.76019883051501e-12,3.60713730345742e-27,-2.29461732408109,0.999964758649725
16,2048.7126585575,12872.4412748813,-3.19151371996895e-11,-1.92608246440077e-19,-1.11241033970881e-12,2.14259404853124e-28,-2.29461732408109,0.999964758649725
